Height,FootSize,Period,Gender
60.00,9.00,3,Female
61.00,9.00,3,Female
58.00,9.00,3,Female
63.00,5.00,3,Female
66.00,7.00,3,Female
60.00,8.00,3,Female
64.00,11.00,3,Male
64.00,11.00,3,Male
62.00,9.00,3,Female
66.00,9.00,3,Female
61.00,8.00,3,Female
64.00,9.00,3,Female
59.00,9.00,3,Male
65.00,9.00,4,Female
64.00,10.00,4,Female
62.00,9.00,4,Female
63.00,8.00,4,Male
62.00,10.00,4,Male
61.00,10.00,4,Male
61.00,8.00,4,Male
63.50,9.50,4,Female
61.00,9.00,4,Female
64.00,9.00,4,Female
63.00,10.00,4,Female
64.00,9.30,4,Female
61.30,8.30,4,Female
61.00,8.00,4,Female
68.00,13.00,4,Male
68.00,13.00,4,Male
60.00,12.00,4,Male
63.00,9.00,5,Female
62.00,9.00,5,Female
68.00,10.00,5,Female
,8.00,5,Female
64.00,9.00,5,Female
67.00,9.00,5,Female
66.00,11.00,5,Male
64.00,9.00,5,Female
64.00,10.00,5,Female
64.00,9.00,5,Female
60.00,7.50,6,Female
62.00,8.00,6,Female
61.00,8.00,6,Female
63.00,9.00,6,Female
62.00,8.00,6,Female
65.00,10.00,6,Male
58.00,9.00,6,Male
64.00,10.00,6,Male
62.00,11.00,6,Male
56.00,9.70,6,Female
60.00,9.70,6,Female
61.00,10.70,6,Female
64.00,9.00,6,Female
56.00,8.00,6,Female
56.00,10.00,6,Male
58.00,9.00,6,Male
64.00,10.00,6,Male
64.00,10.00,6,Male