height.cm,footsize.cm,class,height.in,footsize.in
140,21,2,55.118112,8.2677168
131,21,2,51.5748048,8.2677168
153,24,2,60.2362224,9.4488192
152,23,2,59.8425216,9.0551184
154,23,2,60.6299232,9.0551184
24,150,2,9.4488192,59.05512
144,23,2,56.6929152,9.0551184
146,22,2,57.4803168,8.6614176
22,133,2,8.6614176,52.3622064
145,21,2,57.086616,8.2677168
140,21,2,55.118112,8.2677168
136,21,2,53.5433088,8.2677168
140,21,2,55.118112,8.2677168
142,21.5,2,55.9055136,8.4645672
148,14,2,58.2677184,5.5118112
155,24,2,61.023624,9.4488192
152,24,2,59.8425216,9.4488192
148,23,2,58.2677184,9.0551184
142,22,2,55.9055136,8.6614176
133,14,2,52.3622064,5.5118112
139,20,2,54.7244112,7.874016
147,25,2,57.8740176,9.84252
135,20,2,53.149608,7.874016
157,25,1,61.8110256,9.84252
149,27,1,58.6614192,10.6299216
148,23,1,58.2677184,9.0551184
145,22,1,57.086616,8.6614176
152,23,1,59.8425216,9.0551184
155.5,25.5,1,61.2204744,10.0393704
137,22,1,53.9370096,8.6614176
145,22,1,57.086616,8.6614176
148,23.5,1,58.2677184,9.2519688
144.5,23,1,56.8897656,9.0551184
155,26,1,61.023624,10.2362208
150,26,1,59.05512,10.2362208
153,25,1,60.2362224,9.84252
24,142,1,9.4488192,55.9055136
147,22,1,57.8740176,8.6614176
142,23,1,55.9055136,9.0551184
148,25,1,58.2677184,9.84252
140,22,1,55.118112,8.6614176
25,149,1,9.84252,58.6614192
150,22,1,59.05512,8.6614176
140,24,1,55.118112,9.4488192
148,22,1,58.2677184,8.6614176
152,24,5,59.8425216,9.4488192
139,22,5,54.7244112,8.6614176
155,18,5,61.023624,7.0866144
144,23,5,56.6929152,9.0551184
136,23,5,53.5433088,9.0551184
144,24,5,56.6929152,9.4488192
143,22,5,56.2992144,8.6614176
142,24,5,55.9055136,9.4488192
148,21,5,58.2677184,8.2677168
158,22,5,62.2047264,8.6614176
147,24,5,57.8740176,9.4488192
146,18,5,57.4803168,7.0866144
136,22,5,53.5433088,8.6614176
145,20,5,57.086616,7.874016
145,23,5,57.086616,9.0551184
132,21,5,51.9685056,8.2677168
149,24,5,58.6614192,9.4488192
163,25,5,64.1732304,9.84252
135,22,5,53.149608,8.6614176
133,21,5,52.3622064,8.2677168
154,23,5,60.6299232,9.0551184
142,21,5,55.9055136,8.2677168
146,23,5,57.4803168,9.0551184
136,20,5,53.5433088,7.874016
149,22,4,58.6614192,8.6614176
157,24,4,61.8110256,9.4488192
140,20,4,55.118112,7.874016
147,22,4,57.8740176,8.6614176
149,22,4,58.6614192,8.6614176
160,26,4,62.992128,10.2362208
147,25,4,57.8740176,9.84252
154,25,4,60.6299232,9.84252
129,22,4,50.7874032,8.6614176
139,21,4,54.7244112,8.2677168
144,22,4,56.6929152,8.6614176
147,21,4,57.8740176,8.2677168
135,20,4,53.149608,7.874016
146,20,4,57.4803168,7.874016
143,23,4,56.2992144,9.0551184
145,22,4,57.086616,8.6614176
24,150,4,9.4488192,59.05512
21,149,4,8.2677168,58.6614192
133,20,4,52.3622064,7.874016
150,24,4,59.05512,9.4488192
140,22,4,55.118112,8.6614176
140,24,6,55.118112,9.4488192
142,22,6,55.9055136,8.6614176
142,13,6,55.9055136,5.1181104
22,142,6,8.6614176,55.9055136
144,24,6,56.6929152,9.4488192
146,20,6,57.4803168,7.874016
150,24.5,6,59.05512,9.6456696
149,24.5,6,58.6614192,9.6456696
55,26,6,21.653544,10.2362208
159,26,6,62.5984272,10.2362208
146,23,6,57.4803168,9.0551184
147,23,6,57.8740176,9.0551184
142,30,6,55.9055136,11.811024
133,20,6,52.3622064,7.874016
151,28,6,59.4488208,11.0236224
137,23,6,53.9370096,9.0551184
140,22,6,55.118112,8.6614176
150,23,6,59.05512,9.0551184
149,24,6,58.6614192,9.4488192
146,23,6,57.4803168,9.0551184
148,24,6,58.2677184,9.4488192
143,22,6,56.2992144,8.6614176